Date;Price;Akcyza;Opłata paliwowa;Change %
28.06.2022;7,13;1,1;0,32912;-1,79%
27.06.2022;7,26;1,1;0,32912;-0,55%
25.06.2022;7,3;1,1;0,32912;-0,14%
24.06.2022;7,31;1,1;0,32912;1,25%
23.06.2022;7,22;1,1;0,32912;-1,10%
22.06.2022;7,3;1,1;0,32912;-1,08%
21.06.2022;7,38;1,1;0,32912;0,00%
18.06.2022;7,38;1,1;0,32912;0,27%
16.06.2022;7,36;1,1;0,32912;1,38%
15.06.2022;7,26;1,1;0,32912;0,83%
14.06.2022;7,2;1,1;0,32912;0,42%
11.06.2022;7,17;1,1;0,32912;-2,45%
10.06.2022;7,35;1,1;0,32912;3,09%
9.06.2022;7,13;1,1;0,32912;-2,46%
8.06.2022;7,31;1,1;0,32912;-1,08%
7.06.2022;7,39;1,1;0,32912;3,36%
6.06.2022;7,15;1,1;0,32912;-0,28%
2.06.2022;7,17;1,1;0,32912;3,76%
1.06.2022;6,91;1,1;0,32912;2,37%
31.05.2022;6,75;1,1;0,32912;0,75%
28.05.2022;6,7;1,1;0,32912;0,15%
27.05.2022;6,69;1,1;0,32912;3,24%
26.05.2022;6,48;1,1;0,32912;1,41%
25.05.2022;6,39;1,1;0,32912;0,16%
24.05.2022;6,38;1,1;0,32912;-0,93%
21.05.2022;6,44;1,1;0,32912;-0,92%
20.05.2022;6,5;1,1;0,32912;-0,61%
19.05.2022;6,54;1,1;0,32912;-1,21%
18.05.2022;6,62;1,1;0,32912;-0,60%
17.05.2022;6,66;1,1;0,32912;0,15%
16.05.2022;6,65;1,1;0,32912;0,76%
14.05.2022;6,6;1,1;0,32912;0,15%
13.05.2022;6,59;1,1;0,32912;0,15%
12.05.2022;6,58;1,1;0,32912;0,77%
11.05.2022;6,53;1,1;0,32912;-2,39%
10.05.2022;6,69;1,1;0,32912;-0,89%
7.05.2022;6,75;1,1;0,32912;-1,89%
6.05.2022;6,88;1,1;0,32912;0,73%
5.05.2022;6,83;1,1;0,32912;-1,01%
1.05.2022;6,9;1,1;0,32912;-1,29%
30.04.2022;6,99;1,1;0,32912;0,14%
29.04.2022;6,98;1,1;0,32912;1,31%
28.04.2022;6,89;1,1;0,32912;3,45%
27.04.2022;6,66;1,1;0,32912;1,06%
26.04.2022;6,59;1,1;0,32912;-1,05%
23.04.2022;6,66;1,1;0,32912;0,15%
22.04.2022;6,65;1,1;0,32912;-0,45%
21.04.2022;6,68;1,1;0,32912;0,45%
20.04.2022;6,65;1,1;0,32912;-0,15%
19.04.2022;6,66;1,1;0,32912;0,00%
15.04.2022;6,66;1,1;0,32912;2,62%
14.04.2022;6,49;1,1;0,32912;1,25%
13.04.2022;6,41;1,1;0,32912;2,89%
12.04.2022;6,23;1,1;0,32912;-1,11%
9.04.2022;6,3;1,1;0,32912;-0,79%
8.04.2022;6,35;1,1;0,32912;-0,94%
7.04.2022;6,41;1,1;0,32912;-0,47%
6.04.2022;6,44;1,1;0,32912;-1,53%
5.04.2022;6,54;1,1;0,32912;0,31%
2.04.2022;6,52;1,1;0,32912;-1,95%
1.04.2022;6,65;1,1;0,32912;-2,78%
31.03.2022;6,84;1,1;0,32912;-2,15%
30.03.2022;6,99;1,1;0,32912;-1,41%
29.03.2022;7,09;1,1;0,32912;-1,39%
26.03.2022;7,19;1,1;0,32912;-1,10%
25.03.2022;7,27;1,1;0,32912;2,39%
24.03.2022;7,1;1,1;0,32912;3,50%
23.03.2022;6,86;1,1;0,32912;1,48%
22.03.2022;6,76;1,1;0,32912;4,16%
19.03.2022;6,49;1,1;0,32912;1,25%
18.03.2022;6,41;1,1;0,32912;4,23%
17.03.2022;6,15;1,1;0,32912;-3,15%
16.03.2022;6,35;1,1;0,32912;-5,22%
15.03.2022;6,7;1,1;0,32912;-3,18%
12.03.2022;6,92;1,1;0,32912;-1,98%
11.03.2022;7,06;1,1;0,32912;-3,81%
10.03.2022;7,34;1,1;0,32912;-4,68%
9.03.2022;7,7;1,1;0,32912;5,62%
8.03.2022;7,29;1,1;0,32912;9,79%
5.03.2022;6,64;1,1;0,32912;4,24%
4.03.2022;6,37;1,1;0,32912;3,41%
3.03.2022;6,16;1,1;0,32912;6,76%
2.03.2022;5,77;1,1;0,32912;4,53%
1.03.2022;5,52;1,1;0,32912;1,47%
26.02.2022;5,44;1,1;0,32912;1,49%
25.02.2022;5,36;1,1;0,32912;3,88%
24.02.2022;5,16;1,1;0,32912;0,19%
23.02.2022;5,15;1,1;0,32912;1,58%
22.02.2022;5,07;1,1;0,32912;0,20%
19.02.2022;5,06;1,1;0,32912;-0,20%
18.02.2022;5,07;1,1;0,32912;0,00%
17.02.2022;5,07;1,1;0,32912;-0,20%
16.02.2022;5,08;1,1;0,32912;-0,97%
15.02.2022;5,13;1,1;0,32912;1,79%
12.02.2022;5,04;1,1;0,32912;0,80%
11.02.2022;5;1,1;0,32912;-0,20%
10.02.2022;5,01;1,1;0,32912;-0,20%
9.02.2022;5,02;1,1;0,32912;-0,59%
8.02.2022;5,05;1,1;0,32912;0,40%
5.02.2022;5,03;1,1;0,32912;0,80%
4.02.2022;4,99;1,1;0,32912;0,20%
3.02.2022;4,98;1,1;0,32912;0,00%
2.02.2022;4,98;1,1;0,32912;-0,20%
1.02.2022;4,99;1,1;0,32912;-0,40%
29.01.2022;5,01;1,1;0,32912;1,21%
28.01.2022;4,95;1,1;0,32912;0,61%
27.01.2022;4,92;1,1;0,32912;1,44%
26.01.2022;4,85;1,1;0,32912;0,41%
25.01.2022;4,83;1,1;0,32912;-0,41%
22.01.2022;4,85;1,1;0,32912;0,21%
21.01.2022;4,84;1,1;0,32912;0,21%
20.01.2022;4,83;1,1;0,32912;0,63%
19.01.2022;4,8;1,1;0,32912;0,42%
18.01.2022;4,78;1,1;0,32912;0,00%
15.01.2022;4,78;1,1;0,32912;0,84%
14.01.2022;4,74;1,1;0,32912;-0,63%
13.01.2022;4,77;1,1;0,32912;0,21%
12.01.2022;4,76;1,1;0,32912;0,42%
11.01.2022;4,74;1,1;0,32912;0,42%
10.01.2022;4,72;1,1;0,32912;0,64%
8.01.2022;4,69;1,1;0,32912;0,21%
6.01.2022;4,68;1,1;0,32912;0,86%
5.01.2022;4,64;1,1;0,32912;0,43%
1.01.2022;4,62;1,1;0,32912;0,22%
31.12.2021;4,61;1,07;0,33853;-0,22%
30.12.2021;4,62;1,07;0,33853;1,54%
25.12.2021;4,55;1,07;0,33853;-0,44%
24.12.2021;4,57;1,07;0,33853;0,22%
23.12.2021;4,56;1,07;0,33853;0,22%
22.12.2021;4,55;1,07;0,33853;-1,52%
21.12.2021;4,62;1,07;0,33853;-1,07%
20.12.2021;4,67;1,07;0,33853;-1,68%
18.12.2021;4,75;1,15;0,33853;-0,42%
17.12.2021;4,77;1,15;0,33853;0,42%
16.12.2021;4,75;1,15;0,33853;-0,21%
15.12.2021;4,76;1,15;0,33853;0,00%
14.12.2021;4,76;1,15;0,33853;0,00%
11.12.2021;4,76;1,15;0,33853;-0,42%
10.12.2021;4,78;1,15;0,33853;0,42%
9.12.2021;4,76;1,15;0,33853;0,42%
8.12.2021;4,74;1,15;0,33853;1,94%
7.12.2021;4,65;1,15;0,33853;0,00%
6.12.2021;4,65;1,15;0,33853;0,00%
4.12.2021;4,65;1,15;0,33853;0,00%
3.12.2021;4,65;1,15;0,33853;-0,85%
2.12.2021;4,69;1,15;0,33853;0,43%
1.12.2021;4,67;1,15;0,33853;-1,27%
30.11.2021;4,73;1,15;0,33853;-1,66%
27.11.2021;4,81;1,15;0,33853;-2,63%
26.11.2021;4,94;1,15;0,33853;0,20%
25.11.2021;4,93;1,15;0,33853;0,41%
24.11.2021;4,91;1,15;0,33853;0,41%
23.11.2021;4,89;1,15;0,33853;1,03%
20.11.2021;4,84;1,15;0,33853;-1,02%
19.11.2021;4,89;1,15;0,33853;-0,20%
18.11.2021;4,9;1,15;0,33853;-0,41%
17.11.2021;4,92;1,15;0,33853;0,41%
16.11.2021;4,9;1,15;0,33853;-1,41%
13.11.2021;4,97;1,15;0,33853;-0,20%
11.11.2021;4,98;1,15;0,33853;0,40%
10.11.2021;4,96;1,15;0,33853;-0,20%
9.11.2021;4,97;1,15;0,33853;0,20%
6.11.2021;4,96;1,15;0,33853;0,20%
5.11.2021;4,95;1,15;0,33853;-0,20%
4.11.2021;4,96;1,15;0,33853;-0,40%
3.11.2021;4,98;1,15;0,33853;0,00%
1.11.2021;4,98;1,15;0,33853;0,40%
30.10.2021;4,96;1,15;0,33853;-0,60%
29.10.2021;4,99;1,15;0,33853;-0,40%
28.10.2021;5,01;1,15;0,33853;-0,79%
27.10.2021;5,05;1,15;0,33853;1,20%
26.10.2021;4,99;1,15;0,33853;0,40%
25.10.2021;4,97;1,15;0,33853;0,40%
23.10.2021;4,95;1,15;0,33853;0,00%
22.10.2021;4,95;1,15;0,33853;0,00%
21.10.2021;4,95;1,15;0,33853;0,41%
20.10.2021;4,93;1,15;0,33853;-0,40%
19.10.2021;4,95;1,15;0,33853;0,41%
18.10.2021;4,93;1,15;0,33853;0,00%
16.10.2021;4,93;1,15;0,33853;0,20%
15.10.2021;4,92;1,15;0,33853;-0,20%
14.10.2021;4,93;1,15;0,33853;0,00%
13.10.2021;4,93;1,15;0,33853;0,82%
12.10.2021;4,89;1,15;0,33853;0,62%
9.10.2021;4,86;1,15;0,33853;0,62%
8.10.2021;4,83;1,15;0,33853;0,00%
7.10.2021;4,83;1,15;0,33853;1,05%
6.10.2021;4,78;1,15;0,33853;1,06%
5.10.2021;4,73;1,15;0,33853;0,64%
4.10.2021;4,7;1,15;0,33853;-0,84%
2.10.2021;4,74;1,15;0,33853;0,00%
1.10.2021;4,74;1,15;0,33853;1,28%
