code,date,Euro_super_95
AT,2022-09-19,1.705
AT,2022-09-12,1.751
AT,2022-09-05,1.744
AT,2022-08-29,1.758
AT,2022-08-22,1.765
AT,2022-08-15,1.761
AT,2022-08-08,1.86
AT,2022-08-01,1.964
AT,2022-07-25,1.996
AT,2022-07-18,2.04
AT,2022-07-11,2.1
AT,2022-07-04,2.086
AT,2022-06-27,2.102
AT,2022-06-20,2.089
AT,2022-06-13,2.048
AT,2022-06-06,1.988
AT,2022-05-30,1.826
AT,2022-05-23,1.808
AT,2022-05-16,1.774
AT,2022-05-09,1.755
AT,2022-05-02,1.732
AT,2022-04-25,1.719
AT,2022-04-11,1.689
AT,2022-04-04,1.716
AT,2022-03-28,1.756
AT,2022-03-21,1.738
AT,2022-03-14,1.987
AT,2022-03-07,1.691
AT,2022-02-28,1.528
AT,2022-02-21,1.478
AT,2022-02-14,1.47
AT,2022-02-07,1.453
AT,2022-01-31,1.439
AT,2022-01-24,1.427
AT,2022-01-17,1.418
AT,2022-01-10,1.406
AT,2022-01-03,1.395
AT,2021-12-20,1.398
AT,2021-12-13,1.397
AT,2021-12-06,1.405
AT,2021-11-29,1.426
AT,2021-11-22,1.425
AT,2021-11-15,1.438
AT,2021-11-08,1.427
AT,2021-11-01,1.41
AT,2021-10-25,1.404
AT,2021-10-18,1.398
AT,2021-10-11,1.382
AT,2021-10-04,1.342
AT,2021-09-27,1.325
AT,2021-09-20,1.321
AT,2021-09-13,1.325
AT,2021-09-06,1.323
AT,2021-08-30,1.326
AT,2021-08-23,1.32
AT,2021-08-16,1.328
AT,2021-08-09,1.33
AT,2021-08-02,1.329
AT,2021-07-26,1.317
AT,2021-07-19,1.312
AT,2021-07-12,1.307
AT,2021-07-05,1.283
AT,2021-06-28,1.278
AT,2021-06-21,1.267
AT,2021-06-14,1.253
AT,2021-06-07,1.25
AT,2021-05-31,1.245
AT,2021-05-24,1.243
AT,2021-05-17,1.246
AT,2021-05-10,1.254
AT,2021-05-03,1.236
AT,2021-04-26,1.232
AT,2021-04-19,1.225
AT,2021-04-12,1.218
AT,2021-03-29,1.214
AT,2021-03-22,1.209
AT,2021-03-15,1.216
AT,2021-03-08,1.196
AT,2021-03-01,1.181
AT,2021-02-22,1.166
AT,2021-02-15,1.15
AT,2021-02-08,1.143
AT,2021-02-01,1.125
AT,2021-01-25,1.128
AT,2021-01-18,1.119
AT,2021-01-11,1.093
AT,2020-12-21,1.072
AT,2020-12-14,1.072
AT,2020-12-07,1.073
AT,2020-11-30,1.061
AT,2020-11-23,1.063
AT,2020-11-16,1.041
AT,2020-11-09,1.041
AT,2020-11-02,1.048
AT,2020-10-26,1.052
AT,2020-10-19,1.059
AT,2020-10-12,1.065
AT,2020-10-05,1.066
AT,2020-09-28,1.063
AT,2020-09-21,1.065
AT,2020-09-14,1.066
AT,2020-09-07,1.07
AT,2020-08-31,1.074
AT,2020-08-24,1.061
AT,2020-08-17,1.062
AT,2020-08-10,1.058
AT,2020-08-03,1.059
AT,2020-07-27,1.061
AT,2020-07-20,1.059
AT,2020-07-13,1.056
AT,2020-07-06,1.046
AT,2020-06-29,1.048
AT,2020-06-22,1.035
AT,2020-06-15,1.021
