"","country_name","country_name_pl","code"
"1","Austria","Austria","AT"
"2","Belgium","Belgia","BE"
"3","Bulgaria","Bułgaria","BG"
"4","Croatia","Chorwacja","HR"
"5","Cyprus","Cypr","CY"
"6","Czechia","Czechy","CZ"
"7","Denmark","Dania","DK"
"8","Estonia","Estonia","EE"
"9","Finland","Finlandia","FI"
"10","France","Francja","FR"
"11","Germany","Niemcy","DE"
"12","Greece","Grecja","EL"
"13","Hungary","Węgry","HU"
"14","Iceland","Islandia","IS"
"15","Ireland","Irlandia","IE"
"16","Italy","Włochy","IT"
"17","Latvia","Łotwa","LV"
"18","Lithuania","Litwa","LT"
"19","Luxembourg","Luksemburg","LU"
"20","Malta","Malta","MT"
"21","Netherlands","Holandia","NL"
"22","North Macedonia","Macedonia Północna","MK"
"23","Norway","Norwegia","NO"
"24","Poland","Polska","PL"
"25","Portugal","Portugalia","PT"
"26","Romania","Rumunia","RO"
"27","Serbia","Serbia","RS"
"28","Slovakia","Słowacja","SK"
"29","Slovenia","Słowenia","SI"
"30","Spain","Hiszpania","ES"
"31","Sweden","Szwecja","SE"
"32","Switzerland","Szwajcaria","CH"
"33","Turkey","Turcja","TR"
"34",NA,NA,"EA"
"35",NA,NA,"EA19"
"36",NA,NA,"EU"
