Ddate;Gasoline
15.06.2022;7,96
9.06.2022;7,97
2.06.2022;7,89
26.05.2022;7,36
19.05.2022;7,32
12.05.2022;6,91
5.05.2022;6,7
28.04.2022;6,55
21.04.2022;6,5
14.04.2022;6,42
7.04.2022;6,5
31.03.2022;6,68
24.03.2022;6,65
17.03.2022;6,67
10.03.2022;7,05
3.03.2022;6,14
24.02.2022;5,57
17.02.2022;5,39
10.02.2022;5,31
3.02.2022;5,21
27.01.2022;5,87
20.01.2022;5,78
13.01.2022;5,72
6.01.2022;5,73
30.12.2021;5,73
23.12.2021;5,75
16.12.2021;5,97
9.12.2021;5,99
2.12.2021;6,03
25.11.2021;6,04
18.11.2021;6,02
11.11.2021;5,99
4.11.2021;5,99
28.10.2021;5,96
21.10.2021;5,93
14.10.2021;5,9
7.10.2021;5,85
30.09.2021;5,83
23.09.2021;5,8
16.09.2021;5,79
9.09.2021;5,72
2.09.2021;5,72
26.08.2021;5,72
19.08.2021;5,72
12.08.2021;5,72
5.08.2021;5,72
29.07.2021;5,72
22.07.2021;5,71
15.07.2021;5,69
8.07.2021;5,56
1.07.2021;5,5
24.06.2021;5,45
17.06.2021;5,34
10.06.2021;5,26
3.06.2021;5,25
27.05.2021;5,26
20.05.2021;5,26
13.05.2021;5,26
6.05.2021;5,26
29.04.2021;5,27
22.04.2021;5,27
15.04.2021;5,27
8.04.2021;5,26
1.04.2021;5,23
25.03.2021;5,23
18.03.2021;5,2
11.03.2021;5,08
4.03.2021;4,98
25.02.2021;4,96
18.02.2021;4,85
11.02.2021;4,76
4.02.2021;4,71
28.01.2021;4,7
21.01.2021;4,7
14.01.2021;4,68
7.01.2021;4,59
31.12.2020;4,58
24.12.2020;4,57
17.12.2020;4,55
10.12.2020;4,5
3.12.2020;4,49
26.11.2020;4,49
19.11.2020;4,44
12.11.2020;4,4
5.11.2020;4,44
29.10.2020;4,44
22.10.2020;4,45
15.10.2020;4,43
8.10.2020;4,46
1.10.2020;4,51
24.09.2020;4,5
17.09.2020;4,51
10.09.2020;4,49
3.09.2020;4,5
27.08.2020;4,5
20.08.2020;4,46
13.08.2020;4,43
6.08.2020;4,41
30.07.2020;4,39
23.07.2020;4,35
16.07.2020;4,31
9.07.2020;4,26
2.07.2020;4,24
25.06.2020;4,22
18.06.2020;4,17
11.06.2020;4,17
4.06.2020;4,11
28.05.2020;4,09
21.05.2020;4,03
14.05.2020;3,92
7.05.2020;3,89
30.04.2020;3,94
23.04.2020;4,01
16.04.2020;4,07
9.04.2020;4,12
2.04.2020;4,2
26.03.2020;4,31
19.03.2020;4,52
12.03.2020;4,74
5.03.2020;4,82
27.02.2020;4,87
20.02.2020;4,9
13.02.2020;4,92
6.02.2020;4,92
30.01.2020;4,93
23.01.2020;4,96
16.01.2020;4,97
9.01.2020;4,99
