Textbox_UWAGA2,Textbox_PARAMETRY
WSKAŹNIKI CEN TOWARÓW I USŁUG KONSUMPCYJNYCH - MIESIĘCZNIE,"Rok: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022
Miesiąc: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Jednostka terytorialna: Polska
Rodzaj informacji: okres poprzedni = 100"

Textbox28,Textbox76,Textbox78,Textbox82
Tablica,Wykres,Mapa,Metadane

Textbox5,Textbox1,TOWARY_I_USŁUGI_KONSUMPCYJNE2,GRUPY_GOSPODARSTW_DOMOWYCH_PUBL,KOD_ROK_MIESIAC_RZYM,WARTOSC_OST_blok21,Textbox8,UDZIAL_SZACUNKOW_Blok2,Textbox9,GL_METODA_SZACUNKU_Blok2,Textbox10,METODY_SZACUNKU_Blok2
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 I,"101,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 II,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 III,"101,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 IV,"102,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 V,"102,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 VI,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 VII,"100,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 VIII,"98,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 IX,"99,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 X,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 XI,"100,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 XII,"104,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 I,"102,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 II,"98,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
