"Date","Price","Open","High","Low","Change %"
"Jun 28, 2022","4.4620","4.4281","4.4689","4.4134","0.92%"
"Jun 27, 2022","4.4213","4.4446","4.4597","4.4149","-0.37%"
"Jun 24, 2022","4.4378","4.4756","4.4843","4.4379","-0.78%"
"Jun 23, 2022","4.4726","4.4474","4.4959","4.4370","0.63%"
"Jun 22, 2022","4.4448","4.4010","4.4692","4.3985","1.09%"
"Jun 21, 2022","4.3967","4.4170","4.4264","4.3863","-0.31%"
"Jun 20, 2022","4.4103","4.4587","4.4700","4.4100","-0.91%"
"Jun 17, 2022","4.4509","4.4784","4.4925","4.4520","-0.51%"
"Jun 16, 2022","4.4738","4.4623","4.5453","4.4544","0.37%"
"Jun 15, 2022","4.4572","4.4735","4.5106","4.4409","-0.29%"
"Jun 14, 2022","4.4700","4.4686","4.4834","4.4295","0.16%"
"Jun 13, 2022","4.4630","4.3776","4.4784","4.3766","2.02%"
"Jun 10, 2022","4.3746","4.3394","4.3968","4.3193","0.89%"
"Jun 09, 2022","4.3358","4.2801","4.3428","4.2613","1.38%"
"Jun 08, 2022","4.2769","4.2759","4.2961","4.2533","0.16%"
"Jun 07, 2022","4.2702","4.2846","4.3067","4.2720","-0.29%"
"Jun 06, 2022","4.2825","4.2765","4.2968","4.2656","0.20%"
"Jun 03, 2022","4.2738","4.2610","4.2940","4.2506","0.46%"
"Jun 02, 2022","4.2542","4.3089","4.3127","4.2537","-1.19%"
"Jun 01, 2022","4.3053","4.2699","4.3232","4.2618","0.93%"
"May 31, 2022","4.2656","4.2530","4.2910","4.2509","0.44%"
"May 30, 2022","4.2470","4.2614","4.2715","4.2368","-0.21%"
"May 27, 2022","4.2561","4.2926","4.3033","4.2533","-0.78%"
"May 26, 2022","4.2894","4.3074","4.3261","4.2888","-0.32%"
"May 25, 2022","4.3033","4.2828","4.3403","4.2786","0.64%"
"May 24, 2022","4.2760","4.3134","4.3293","4.2748","-0.79%"
"May 23, 2022","4.3101","4.3811","4.3843","4.3074","-1.53%"
"May 20, 2022","4.3769","4.3899","4.4049","4.3746","-0.14%"
"May 19, 2022","4.3830","4.4401","4.4465","4.3833","-1.17%"
"May 18, 2022","4.4349","4.4117","4.4440","4.4025","0.65%"
"May 17, 2022","4.4062","4.4644","4.4694","4.4027","-1.22%"
"May 16, 2022","4.4607","4.4967","4.5100","4.4613","-0.72%"
"May 13, 2022","4.4930","4.4957","4.5278","4.4798","0.10%"
"May 12, 2022","4.4885","4.4458","4.5047","4.4369","1.11%"
"May 11, 2022","4.4394","4.4466","4.4531","4.4054","-0.04%"
"May 10, 2022","4.4413","4.4437","4.4531","4.4184","0.06%"
"May 09, 2022","4.4385","4.4675","4.4964","4.4262","-0.52%"
"May 06, 2022","4.4615","4.4569","4.4795","4.4331","0.19%"
"May 05, 2022","4.4531","4.3764","4.4732","4.3686","0.25%"
"May 04, 2022","4.4420","4.4598","4.4717","4.4244","-0.30%"
"May 03, 2022","4.4554","4.4674","4.4881","4.4394","-0.25%"
"May 02, 2022","4.4665","4.4403","4.4767","4.4173","0.86%"
"Apr 29, 2022","4.4286","4.4693","4.4733","4.3990","-0.85%"
"Apr 28, 2022","4.4665","4.4615","4.4931","4.4222","0.28%"
"Apr 27, 2022","4.4543","4.4332","4.4759","4.4127","0.61%"
"Apr 26, 2022","4.4272","4.3344","4.4430","4.3196","2.26%"
"Apr 25, 2022","4.3293","4.3088","4.3584","4.2933","0.57%"
"Apr 22, 2022","4.3048","4.2827","4.3179","4.2698","0.66%"
"Apr 21, 2022","4.2764","4.2748","4.2897","4.2474","0.17%"
"Apr 20, 2022","4.2692","4.3054","4.3155","4.2597","-0.75%"
"Apr 19, 2022","4.3016","4.2888","4.3151","4.2768","0.39%"
"Apr 18, 2022","4.2847","4.2748","4.3004","4.2661","0.27%"
"Apr 15, 2022","4.2730","4.2857","4.3006","4.2738","-0.15%"
"Apr 14, 2022","4.2796","4.2596","4.3240","4.2427","0.63%"
"Apr 13, 2022","4.2527","4.2868","4.2955","4.2542","-0.68%"
"Apr 12, 2022","4.2818","4.2839","4.3000","4.2606","0.09%"
"Apr 11, 2022","4.2781","4.2606","4.2891","4.2469","0.55%"
"Apr 08, 2022","4.2549","4.2604","4.2831","4.2537","0.02%"
"Apr 07, 2022","4.2541","4.2808","4.2835","4.2336","-0.54%"
"Apr 06, 2022","4.2773","4.2628","4.2884","4.2133","0.42%"
"Apr 05, 2022","4.2595","4.2141","4.2713","4.2039","1.21%"
"Apr 04, 2022","4.2085","4.1981","4.2266","4.1939","0.37%"
"Apr 01, 2022","4.1931","4.1989","4.2133","4.1883","-0.00%"
"Mar 31, 2022","4.1933","4.1579","4.2100","4.1489","0.96%"
"Mar 30, 2022","4.1533","4.2031","4.2083","4.1499","-1.02%"
"Mar 29, 2022","4.1959","4.2726","4.2965","4.1704","-1.71%"
"Mar 28, 2022","4.2688","4.2610","4.3165","4.2608","0.29%"
"Mar 25, 2022","4.2566","4.3394","4.3446","4.2600","-1.78%"
"Mar 24, 2022","4.3338","4.2882","4.3424","4.2824","1.15%"
"Mar 23, 2022","4.2844","4.2410","4.2973","4.2344","1.20%"
"Mar 22, 2022","4.2336","4.2599","4.2856","4.2354","-0.47%"
"Mar 21, 2022","4.2534","4.2667","4.2764","4.2273","-0.21%"
"Mar 18, 2022","4.2622","4.2242","4.2889","4.2101","1.03%"
"Mar 17, 2022","4.2188","4.2225","4.2581","4.1982","0.01%"
"Mar 16, 2022","4.2184","4.2993","4.3072","4.2182","-1.81%"
"Mar 15, 2022","4.2963","4.3394","4.3411","4.2875","-0.90%"
"Mar 14, 2022","4.3355","4.3842","4.3931","4.2904","-1.00%"
"Mar 11, 2022","4.3794","4.3590","4.3899","4.3260","0.64%"
"Mar 10, 2022","4.3515","4.3114","4.3974","4.3078","1.09%"
"Mar 09, 2022","4.3045","4.4686","4.4844","4.2931","-3.51%"
"Mar 08, 2022","4.4611","4.5905","4.6048","4.4400","-2.66%"
"Mar 07, 2022","4.5831","4.4708","4.6159","4.4686","2.60%"
"Mar 04, 2022","4.4669","4.3491","4.4878","4.3467","2.87%"
"Mar 03, 2022","4.3421","4.2645","4.3595","4.2629","1.92%"
"Mar 02, 2022","4.2605","4.2670","4.3549","4.2558","-0.01%"
"Mar 01, 2022","4.2608","4.1904","4.3123","4.1668","1.87%"
"Feb 28, 2022","4.1827","4.2006","4.2243","4.1686","1.90%"
"Feb 25, 2022","4.1046","4.1338","4.1817","4.1028","-0.56%"
"Feb 24, 2022","4.1276","4.0550","4.2432","4.0530","1.92%"
"Feb 23, 2022","4.0497","4.0136","4.0573","3.9880","1.04%"
"Feb 22, 2022","4.0080","4.0163","4.0350","3.9941","-0.09%"
"Feb 21, 2022","4.0118","3.9990","4.0191","3.9615","0.42%"
"Feb 18, 2022","3.9949","3.9836","4.0124","3.9666","0.39%"
"Feb 17, 2022","3.9794","3.9539","3.9901","3.9486","0.77%"
"Feb 16, 2022","3.9490","3.9592","3.9685","3.9375","-0.15%"
"Feb 15, 2022","3.9551","4.0233","4.0349","3.9524","-1.55%"
"Feb 14, 2022","4.0172","4.0276","4.0568","3.9992","-0.09%"
"Feb 11, 2022","4.0210","3.9421","4.0404","3.9372","2.08%"
"Feb 10, 2022","3.9391","3.9331","3.9616","3.9129","0.24%"
"Feb 09, 2022","3.9295","3.9663","3.9718","3.9237","-0.84%"
"Feb 08, 2022","3.9629","3.9650","3.9859","3.9597","0.03%"
"Feb 07, 2022","3.9618","3.9853","3.9961","3.9616","-0.65%"
"Feb 04, 2022","3.9878","3.9699","4.0015","3.9544","0.56%"
"Feb 03, 2022","3.9657","4.0160","4.0303","3.9557","-1.16%"
"Feb 02, 2022","4.0123","4.0549","4.0598","4.0087","-0.94%"
"Feb 01, 2022","4.0505","4.0797","4.0862","4.0503","-0.66%"
"Jan 31, 2022","4.0773","4.1122","4.1244","4.0739","-0.68%"
"Jan 28, 2022","4.1054","4.0912","4.1262","4.0855","0.44%"
"Jan 27, 2022","4.0874","4.0793","4.1065","4.0743","0.27%"
"Jan 26, 2022","4.0765","4.0539","4.0863","4.0489","0.62%"
"Jan 25, 2022","4.0513","4.0314","4.0785","4.0276","0.56%"
"Jan 24, 2022","4.0286","3.9943","4.0499","3.9875","0.98%"
"Jan 21, 2022","3.9895","4.0013","4.0114","3.9736","-0.18%"
