"Date","Price","Open","High","Low","Change %"
"Jun 26, 2022","4.4579","4.4415","4.4689","4.4134","0.45%"
"Jun 19, 2022","4.4378","4.4587","4.4959","4.3863","-0.29%"
"Jun 12, 2022","4.4509","4.3776","4.5453","4.3766","1.74%"
"Jun 05, 2022","4.3746","4.2765","4.3968","4.2533","2.36%"
"May 29, 2022","4.2738","4.2614","4.3232","4.2368","0.42%"
"May 22, 2022","4.2561","4.3811","4.3843","4.2533","-2.76%"
"May 15, 2022","4.3769","4.4967","4.5100","4.3746","-2.58%"
"May 08, 2022","4.4930","4.4675","4.5278","4.4054","0.71%"
"May 01, 2022","4.4615","4.4323","4.4881","4.3686","0.74%"
"Apr 24, 2022","4.4286","4.3088","4.4936","4.2933","2.88%"
"Apr 17, 2022","4.3048","4.2748","4.3179","4.2474","0.74%"
"Apr 10, 2022","4.2730","4.2606","4.3240","4.2427","0.43%"
"Apr 03, 2022","4.2549","4.1981","4.2884","4.1939","1.47%"
"Mar 27, 2022","4.1931","4.2610","4.3165","4.1489","-1.49%"
"Mar 20, 2022","4.2566","4.2667","4.3446","4.2273","-0.13%"
"Mar 13, 2022","4.2622","4.3842","4.3931","4.1982","-2.68%"
"Mar 06, 2022","4.3794","4.4708","4.6159","4.2931","-1.96%"
"Feb 27, 2022","4.4669","4.2006","4.4878","4.1668","8.83%"
"Feb 20, 2022","4.1046","3.9990","4.2432","3.9615","2.75%"
"Feb 13, 2022","3.9949","4.0276","4.0568","3.9375","-0.65%"
"Feb 06, 2022","4.0210","3.9853","4.0404","3.9129","0.91%"
"Jan 30, 2022","3.9848","4.1122","4.1244","3.9544","-2.94%"
"Jan 23, 2022","4.1054","3.9943","4.1262","3.9875","2.91%"
"Jan 16, 2022","3.9895","3.9739","4.0143","3.9534","0.49%"
"Jan 09, 2022","3.9699","4.0029","4.0231","3.9423","-0.73%"
"Jan 02, 2022","3.9991","4.0366","4.0634","3.9975","-0.80%"
"Dec 26, 2021","4.0315","4.0817","4.0942","4.0275","-1.10%"
"Dec 19, 2021","4.0765","4.1213","4.1272","4.0717","-0.97%"
"Dec 12, 2021","4.1166","4.0809","4.1268","4.0767","0.99%"
"Dec 05, 2021","4.0764","4.0644","4.1029","4.0486","0.39%"
"Nov 28, 2021","4.0604","4.1637","4.1792","4.0473","-2.28%"
"Nov 21, 2021","4.1553","4.1617","4.2036","4.1525","-0.07%"
"Nov 14, 2021","4.1581","4.0532","4.1681","4.0368","2.73%"
"Nov 07, 2021","4.0476","3.9774","4.0652","3.9522","1.90%"
"Oct 31, 2021","3.9723","3.9890","4.0093","3.9423","-0.29%"
"Oct 24, 2021","3.9837","3.9532","4.0003","3.9406","0.86%"
"Oct 17, 2021","3.9496","3.9397","3.9681","3.9182","0.34%"
"Oct 10, 2021","3.9361","3.9801","3.9975","3.9274","-0.92%"
"Oct 03, 2021","3.9728","3.9474","4.0090","3.9225","0.71%"
"Sep 26, 2021","3.9446","3.9300","4.0167","3.9209","0.54%"
"Sep 19, 2021","3.9236","3.9155","3.9612","3.9104","0.31%"
"Sep 12, 2021","3.9113","3.8462","3.9205","3.8393","1.75%"
"Sep 05, 2021","3.8441","3.7936","3.8529","3.7891","1.43%"
"Aug 29, 2021","3.7900","3.8795","3.8846","3.7865","-2.21%"
